,count,min,max,mean,Cat_0,Cat_1,Cat_2,Cat_3,Cat_4,LastPurchase,FirstPurchase
0,5,382.52,711.79,558.1719999999999,33.94831700622748,14.524555155041819,10.442659251986845,32.40828991780311,8.676178668940757,59,297
1,4,187.43999999999997,652.8000000000001,359.31,52.46166263115416,0.0,47.53833736884584,0.0,0.0,5,288
2,1,294.40000000000003,294.40000000000003,294.40000000000003,55.027173913043484,31.691576086956523,13.281249999999996,0.0,0.0,240,240
3,6,19.8,296.49999999999994,172.27999999999997,32.03409178856127,6.762247504063155,0.9867657302066405,31.523295410571944,28.693599566597012,2,226
4,1,89.0,89.0,89.0,57.752808988764045,19.88764044943821,0.0,0.0,22.35955056179775,134,134
5,1,1079.4,1079.4,1079.4,38.28701130257549,10.825458588104503,14.950898647396702,19.70075968130443,16.23587178061886,162,162
6,1,459.4,459.4,459.4,63.16935132781889,11.558554636482373,0.0,25.27209403569874,0.0,144,144
7,2,481.46,1947.6200000000006,1214.5400000000002,45.39784609811121,14.569301957942923,16.374512160982757,8.398241309466957,15.260098473496134,175,255
8,1,404.85999999999996,404.85999999999996,404.85999999999996,12.537667341797166,4.371881638097122,0.0,3.704984439065356,79.38546658104038,80,80
9,3,547.5,1809.0100000000007,1155.2766666666669,43.09501620102543,11.56432946797737,4.220634018402518,14.911291090445866,26.2087292221488,119,261
10,2,454.70000000000016,923.5799999999999,689.1400000000001,48.35011753780072,28.65600603650928,11.92210581304234,11.071770612647649,0.0,42,130
11,1,174.90000000000003,174.90000000000003,174.90000000000003,79.7598627787307,20.2401372212693,0.0,0.0,0.0,217,217
12,5,273.7600000000001,769.9900000000001,470.46800000000013,43.518368943264996,22.146033311511093,6.284805767873689,20.908967241130107,7.141824736220101,2,225
13,2,252.90000000000003,299.1,276.0,37.5,30.543478260869573,17.934782608695652,5.380434782608696,8.641304347826088,39,172
14,2,64.8,578.92,321.85999999999996,49.35375629155534,5.04101161995899,40.22245696886845,5.382775119617225,0.0,8,42
15,1,320.69,320.69,320.69,49.876828089432166,33.11609342355547,1.571611213321276,15.435467273691103,0.0,221,221
16,3,157.20000000000002,1587.07,894.2200000000001,29.480813819119827,25.907122035591534,16.86162241953881,19.257006105879977,8.49343561986983,204,290
17,3,353.12,479.7000000000001,398.68,50.54178790007023,21.49593659074948,12.059797331192938,9.25554329286646,6.646934885120899,1,226
18,1,324.6,324.6,324.6,26.432532347504615,52.40295748613679,15.711645101663585,5.452865064695011,0.0,241,241
19,1,190.30000000000004,190.30000000000004,190.30000000000004,0.0,43.720441408302676,13.399894902785073,26.169206516027323,16.710457172884915,28,28
20,2,546.6000000000001,1001.5199999999998,774.06,29.08689248895435,20.405394930625533,12.913727618014109,30.598403224556243,6.995581737849781,245,284
21,1,4008.6200000000013,4008.6200000000013,4008.6200000000013,34.34249192989108,22.231091996747008,15.08000259440905,15.70490592772575,12.641507551227102,59,59
22,2,362.4000000000001,414.8399999999999,388.62,35.76758787504504,30.742113118213172,10.665946168493646,13.02043126962071,9.803921568627448,11,100
23,2,562.5500000000001,572.0100000000001,567.2800000000001,24.27372725990692,48.49985897616696,7.668170920885628,12.366027358623606,7.192215484416867,8,115
24,1,1013.7399999999999,1013.7399999999999,1013.7399999999999,31.28020991575749,28.24787420837691,10.237338962653148,15.181407461479276,15.053169451733186,49,49
25,5,69.45,591.1599999999999,325.712,38.563516235201654,9.15532740580636,29.116520115930637,13.668516972048927,9.496119271012427,114,282
26,1,212.69,212.69,212.69,17.983920259532653,16.643941887253753,3.1219145234848837,25.671164605764258,36.57905872396445,51,51
27,2,143.0,258.90000000000003,200.95000000000002,43.44364269718835,4.4040806170689235,27.668574272207014,0.0,24.483702413535706,267,296
28,5,124.05000000000001,902.0900000000003,498.85200000000015,23.44182242428616,22.337286409596434,13.591205407615883,31.506739473831914,9.122946284669599,5,256
29,1,504.84000000000003,504.84000000000003,504.84000000000003,27.751366769669595,12.00380318516758,22.98550035654861,25.453609064257986,11.80572062435623,9,9
30,4,177.00000000000006,521.5,395.65000000000003,49.431315556678875,18.25477063060786,2.9571591052698087,28.418425375963608,0.9383293314798431,2,262
31,1,351.08,351.08,351.08,66.50336105730888,5.0415859633132065,3.8737609661615586,18.913068246553493,5.6682237666628685,147,147
32,8,134.97000000000003,310.1,207.465,20.081700527799875,19.033330923288272,44.44243607355458,13.32754922517051,3.114983250186778,42,301
33,1,1109.81,1109.81,1109.81,47.86404880114613,12.634595110874839,14.60069741667493,17.016426235121326,7.88423243618277,65,65
34,4,115.08000000000001,450.9,258.4125,39.12349441300246,7.280994533933148,49.28554152759638,4.309969525468001,0.0,49,191
35,1,69.3,69.3,69.3,52.5974025974026,0.0,0.0,21.645021645021643,25.75757575757576,233,233
36,1,195.60000000000002,195.60000000000002,195.60000000000002,32.97546012269939,67.02453987730061,0.0,0.0,0.0,253,253
37,1,1390.3900000000006,1390.3900000000006,1390.3900000000006,11.216996669999062,25.50435489323139,15.37122677809822,21.986636842900186,25.920784815771107,78,78
38,1,1501.65,1501.65,1501.65,35.35644124796058,26.047347917290985,5.386075317151133,28.71508007858023,4.495055439017081,113,113
